ID CHIRUGIE,DATE CHIRUGIE,HEURE_DEBUT CHIRUGIE,HEURE_FIN CHIRUGIE,SALLE CHIRUGIE,CHIRURGIEN CHIRUGIE
1,01/00/2019,08:00,11:00,BLOC-E1,GREGORY HOUSE
3,01/00/2019,08:00,09:30,BLOC-E2,ROBERT CHASE
4,01/00/2019,10:00,13:00,BLOC-E2,ROBERT CHASE
2,01/00/2019,14:00,16:00,BLOC-E1,GREGORY HOUSE
5,01/00/2019,14:00,16:00,BLOC-E2,ROBERT CHASE
6,01/00/2019,08:00,11:00,BLOC-E1,LAWRENCE KUTNER
7,01/00/2019,08:00,11:10,BLOC-E1,LAWRENCE KUTNER
8,01/00/2019,10:00,12:00,BLOC-E2,MIRANDA BAILEY
9,01/00/2019,08:00,11:00,BLOC-E1,GREGORY HOUSE
11,01/00/2019,08:00,10:00,BLOC-E2,ROBERT CHASE
10,01/00/2019,10:30,12:00,BLOC-E2,ROBERT CHASE
12,01/00/2019,12:30,14:30,BLOC-E2,ROBERT CHASE
13,01/00/2019,08:00,10:00,BLOC-E1,JAMES WILSON
14,01/00/2019,08:00,12:30,BLOC-E1,JAMES WILSON
15,01/00/2019,13:00,20:00,BLOC-E1,JAMES WILSON
16,01/00/2019,08:00,09:00,BLOC-E1,LISA CUDDY
17,01/00/2019,09:30,12:30,BLOC-E1,LISA CUDDY
18,01/00/2019,12:00,13:00,BLOC-E1,LISA CUDDY
19,01/00/2019,15:00,16:30,BLOC-E2,GREGORY HOUSE
20,01/00/2019,17:00,19:00,BLOC-E3,GREGORY HOUSE
21,01/00/2019,08:00,12:00,BLOC-E1,REMY HADLEY
24,01/00/2019,08:00,10:00,BLOC-E3,ERIC FOREMAN
22,01/00/2019,11:00,13:00,BLOC-E2,CHRIS TAUB
23,01/00/2019,12:30,15:00,BLOC-E1,ERIC FOREMAN
25,01/00/2019,12:30,15:00,BLOC-E3,REMY HADLEY
